,Main_sector,new_permalink,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd,permalink,name,homepage_url,category_list,status,country_code,state_code,region,city,founded_at,Primary_sector,total_count,total_amount_invested
1,Automotive & Sports,/organization/ atieva,/organization/atieva,/funding-round/6a5a9a2ff0c547710ac0387f87f1e343,venture,NA,17-12-2009,7000000.00,/Organization/Atieva,Atieva,http://www.atieva.com,Automotive|Electric Vehicles|Software,operating,USA,CA,SF Bay Area,Menlo Park,1/1/2007,Automotive,142,1269104361
2,Automotive & Sports,/organization/ zero-motorcycles,/ORGANIZATION/ZERO-MOTORCYCLES,/funding-round/b525cff62d6f469611ae43bb6e04f798,venture,NA,1/10/2012,6000000.00,/Organization/Zero-Motorcycles,Zero Motorcycles Inc.,http://www.zeromotorcycles.com,Automotive|Electric Vehicles,operating,USA,CA,SF Bay Area,Scotts Valley,1/1/2006,Automotive,142,1269104361
3,Automotive & Sports,/organization/ vinli,/organization/vinli,/funding-round/503de85df4b1e841dc64d4fe0220631c,venture,A,8/6/2015,6500000.00,/Organization/Vinli,Vinli,https://www.vin.li/,Automotive|Development Platforms|Embedded Hardware and Software|Mobile,operating,USA,TX,Dallas,Dallas,1/1/2014,Automotive,142,1269104361
4,Automotive & Sports,/organization/ flywheel-software,/ORGANIZATION/FLYWHEEL-SOFTWARE,/funding-round/9d3bfecf8a4bd83cd78e99d132cae6ce,venture,C,20-11-2014,12000000.00,/Organization/Flywheel-Software,Flywheel Software,http://www.flywheel.com,Automotive|Mobile|Public Transportation|Real Time|Transportation,operating,USA,CA,SF Bay Area,Redwood City,1/1/2009,Automotive,142,1269104361
5,Automotive & Sports,/organization/ delphi,/organization/delphi,/funding-round/3fc379fe0b42bbcd9839a6c29b9b3ac1,venture,NA,13-06-2008,8000000.00,/Organization/Delphi,Delphi,http://www.delphi.com,Automotive,ipo,USA,MI,Detroit,Troy,1/1/2009,Automotive,142,1269104361
6,Automotive & Sports,/organization/ silvercar,/ORGANIZATION/SILVERCAR,/funding-round/9fda197ed5492c9e68e60e6fd5d13835,venture,B,23-09-2014,14000000.00,/Organization/Silvercar,Silvercar,http://silvercar.com,Automotive|E-Commerce|Transportation,operating,USA,TX,Austin,Austin,1/4/2012,Automotive,142,1269104361
7,Automotive & Sports,/organization/ ansible,/organization/ansible,/funding-round/2692caf147ec410d38a509c2499902c6,venture,A,12/8/2013,6000000.00,/Organization/Ansible,Ansible,http://ansible.com,Automotive|Cloud Computing|Enterprise Software,acquired,USA,CA,Santa Barbara,Santa Barbara,1/1/2013,Automotive,142,1269104361
8,Automotive & Sports,/organization/ clean-wave-technologies,/organization/clean-wave-technologies,/funding-round/adc4e173bcd088bb1f04311512ad0834,venture,NA,29-01-2014,8762152.00,/Organization/Clean-Wave-Technologies,Clean Wave Technologies,http://www.cleanwavetech.com/,Electric Vehicles|Energy Management,operating,USA,CA,SF Bay Area,Mountain View,1/1/2008,Electric Vehicles,142,1269104361
9,Automotive & Sports,/organization/ venture-vehicles-inc,/organization/venture-vehicles-inc,/funding-round/28cb96bfafc283fd4359ef4fd7368499,venture,A,17-08-2007,6000000.00,/Organization/Venture-Vehicles-Inc,Persu Mobility,http://www.flytheroad.com/,Electric Vehicles,operating,USA,CA,Los Angeles,Los Angeles,1/1/2005,Electric Vehicles,142,1269104361
10,Automotive & Sports,/organization/ servergy,/organization/servergy,/funding-round/879606dc51e3a085579e52bf31c47b11,venture,NA,10/6/2012,5637090.00,/Organization/Servergy,Servergy,http://servergy.com,Design,operating,USA,TX,Dallas,Mckinney,1/1/2009,Design,142,1269104361
